 лиент. од	ќтклик	¬еро€тность визита	ѕризнак тестового множества	“ип клиента
620	False	0.00452939902610812	False	“ип 2
1120	True	0.0123200969450382	False	“ип 2
2771	False	0.00979619377034654	False	“ип 2
5886	True	0.110017335774212	False	“ип 1
10006	False	0.0360664517978291	False	“ип 2
11207	False	0.012794663969453	False	“ип 1
11932	False	0.0124498005979846	False	“ип 1
14656	True	0.0514991825775796	False	“ип 2
15350	True	0.0783517450682887	False	“ип 2
17302	False	0.0061923169939484	False	“ип 1
19496	False	0.0300289288299185	False	“ип 2
20478	False	0.00407228581243338	False	“ип 1
20761	False	0.00441268714126442	False	“ип 2
24554	False	0.0559162987137686	False	“ип 2
24880	False	0.00425559313940782	False	“ип 1
29173	False	0.0140011826714516	False	“ип 2
29440	True	0.0452026822494792	False	“ип 1
30600	False	0.0497495493802032	False	“ип 1
42439	True	0.355390791417626	False	“ип 1
45799	False	0.0359041168384844	False	“ип 1
54496	False	0.1705970074591	False	“ип 2
57002	False	0.0140011826714516	False	“ип 2
59862	False	0.0384968407846561	False	“ип 2
63002	False	0.0182629992752379	False	“ип 1
75205	False	0.00338761270415941	False	“ип 1
75469	True	0.0107516996807819	False	“ип 1
84573	False	0.0360664517978291	False	“ип 1
89796	True	0.0346649467677935	False	“ип 2
91588	True	0.1705970074591	False	“ип 2
95036	False	0.104033117807015	False	“ип 2
95982	True	0.390726976754912	False	“ип 2
102385	False	0.0113977227224628	False	“ип 2
103225	False	0.318939572412996	False	“ип 2
109819	False	0.0398673327275397	False	“ип 2
113743	False	0.0430704349243777	False	“ип 2
117498	False	0.00944926310999715	False	“ип 2
118397	False	0.0126338854575444	False	“ип 1
124710	False	0.0359041168384844	False	“ип 2
126098	False	0.00491750470816251	False	“ип 2
129283	False	0.012794663969453	False	“ип 1
134872	True	0.00944926310999715	False	“ип 2
140597	False	0.0415201386406131	False	“ип 2
144649	False	0.0514991825775796	False	“ип 1
145157	True	0.145669428559953	False	“ип 2
148849	False	0.0415201386406131	False	“ип 2
151432	False	0.0183769581552784	False	“ип 1
156515	False	0.0211802675027487	False	“ип 2
158216	False	0.0286101400209931	False	“ип 2
159522	True	0.0464804139382554	False	“ип 2
165808	True	0.0176215541375391	False	“ип 2
170127	False	0.00513866188421661	False	“ип 1
181498	False	0.00367099333917891	False	“ип 2
191396	False	0.0230601350685746	False	“ип 2
202878	False	0.00513866188421661	False	“ип 2
203289	False	0.00491750470816251	False	“ип 2
206032	False	0.00338761270415941	False	“ип 2
215554	True	0.0430704349243777	False	“ип 2
223182	False	0.0359041168384844	False	“ип 2
249335	False	0.00532817968432443	False	“ип 2
253839	False	0.0430704349243777	False	“ип 2
262684	False	0.00902653863921391	False	“ип 2
277010	False	0.0219483597403617	False	“ип 2
278661	False	0.032066004857751	False	“ип 1
280895	True	0.1705970074591	False	“ип 2
285846	True	0.0346649467677935	False	“ип 2
288748	False	0.329056617825617	False	“ип 2
293555	False	0.107475917116489	False	“ип 1
300845	False	0.012794663969453	False	“ип 2
310786	False	0.0398673327275397	False	“ип 1
312169	False	0.00642044361975746	False	“ип 1
315788	False	0.0346649467677935	False	“ип 2
324469	False	0.0757626931534137	False	“ип 1
332658	False	0.0783517450682887	False	“ип 2
340146	False	0.00531828077010863	False	“ип 2
346225	True	0.00532817968432443	False	“ип 2
346403	False	0.0559162987137686	False	“ип 1
349291	False	0.0468002830154994	False	“ип 2
351482	False	0.0155554047942891	False	“ип 2
359955	False	0.0999835004244794	False	“ип 1
362468	False	0.0061923169939484	False	“ип 2
370622	False	0.00532817968432443	False	“ип 2
374644	False	0.0306628126917598	False	“ип 1
380113	False	0.0152289255895074	False	“ип 1
